path,type,required,array,enum,format,description,mii_module,mii_profile,fhir_element,transform,status,notes,reference
case.priorProcedures[].substances[].code.display,string,no,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.display,ATC http://fhir.de/CodeSystem/bfarm/atc; one MedicationStatement per substance,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
case.priorProcedures[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.system,ATC http://fhir.de/CodeSystem/bfarm/atc; one MedicationStatement per substance,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
case.priorProcedures[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.version,ATC http://fhir.de/CodeSystem/bfarm/atc; one MedicationStatement per substance,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
case.priorProcedures[].substances[].name,string,no,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.text,ATC http://fhir.de/CodeSystem/bfarm/atc; one MedicationStatement per substance,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
case.priorProcedures[].terminationReasonOBDS,string,no,yes,"E, R, W, A, P, S, V, T, U",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-vortherapie,Procedure.statusReason,"prior systemic therapy; termination reason (oBDS SYSTEndegrund) -> statusReason; Stellung/Intention via mii-ex-onko-systemische-therapie-{stellungzurop,intention}",MAPPED,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | CLIN-REVIEW: (Lucien Clin) I'd say that's wrong: The comment mentions ""systemic therapies"", so this object maps to MedicationStatement, and this attribute to MedicationStatement.statusReason: https://hl7.org/fhir/R4/medicationstatement-definitions.html#MedicationStatement.statusReason | CLIN-RESOLVE (partial): element corrected outcome->statusReason (outcome is the result, not why it stopped). Resource stays Procedure: MII/oBDS model a systemic therapy as Procedure (intention/Stellung/type) + MedicationStatement (ATC substance), so 'MedicationStatement not Procedure' is only half right.",mii-pr-mtb-systemische-vortherapie | oBDS-to-FHIR (bzkf); HL7 FHIR R4 core; MII Onko extensions
case.priorProcedures[].therapyEndDate,string,no,yes,,date,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-vortherapie,Procedure.performedPeriod.end,"prior systemic therapy; Stellung/Intention via mii-ex-onko-systemische-therapie-{stellungzurop,intention} (MII URLs, not fhir.de)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-vortherapie | oBDS-to-FHIR (bzkf); MII Onko extensions
case.priorProcedures[].therapyResponse,string,no,yes,"PD, SD, PR, CR",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-response-befund,Observation.valueCodeableConcept,response = Verlauf Gesamtbeurteilung SNOMED 396432002 (obds-to-fhir has no RECIST LOINC),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-response-befund | oBDS-to-FHIR (bzkf)
case.priorProcedures[].therapyResponseDate,string,no,yes,,date,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-vortherapie,Observation(RECIST).effectiveDateTime,"prior systemic therapy; Stellung/Intention via mii-ex-onko-systemische-therapie-{stellungzurop,intention} (MII URLs, not fhir.de)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-vortherapie | oBDS-to-FHIR (bzkf); MII Onko extensions
case.priorProcedures[].therapyStartDate,string,yes,yes,,date,"Date when the therapy started. If the day is unknown, use the 15th of the month.",MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-vortherapie,Procedure.performedPeriod.start,"prior systemic therapy; Stellung/Intention via mii-ex-onko-systemische-therapie-{stellungzurop,intention} (MII URLs, not fhir.de)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-vortherapie | oBDS-to-FHIR (bzkf); MII Onko extensions
case.priorProcedures[].treatmentType,string,yes,yes,"O, A, N, I, S",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-vortherapie,Procedure.extension(StellungZurOp),"prior systemic therapy; Stellung/Intention via mii-ex-onko-systemische-therapie-{stellungzurop,intention} (MII URLs, not fhir.de)",MAPPED,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | CLIN-REVIEW: (Lucien Clin) See above: systemic therapy maps to MedicationStatement | CLIN-RESOLVE (diverge): Stellung-zur-OP lives on the Procedure via mii-ex-onko-systemische-therapie-stellungzurop in the MII/oBDS model; a systemic therapy is Procedure + MedicationStatement (dual), not MedicationStatement only. Ref: medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-systemische-therapie; [[obds-to-fhir/systemtherapie-procedure]].",mii-pr-mtb-systemische-vortherapie | oBDS-to-FHIR (bzkf); MII Onko extensions
followUp.followUpOds[].additionalDiagnoses[].code,string,yes,yes,,,Symbol in syntax defined by the system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.code,new diagnoses at follow-up; multi-coded Condition,MAPPED,[[mii-diagnose-onkologie]],Diagnose
followUp.followUpOds[].additionalDiagnoses[].date,string,yes,yes,,date,Date of the additional diagnosis.,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.recordedDate,new diagnoses at follow-up; multi-coded Condition,MAPPED,[[mii-diagnose-onkologie]],Diagnose
followUp.followUpOds[].additionalDiagnoses[].display,string,no,yes,,,Representation defined by the system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.display,new diagnoses at follow-up; multi-coded Condition,MAPPED,[[mii-diagnose-onkologie]],Diagnose
followUp.followUpOds[].additionalDiagnoses[].system,string,no,yes,,uri,Identity of the terminology system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.system,new diagnoses at follow-up; multi-coded Condition,MAPPED,[[mii-diagnose-onkologie]],Diagnose
followUp.followUpOds[].additionalDiagnoses[].version,string,yes,yes,,,Version of the system - if relevant,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.version,new diagnoses at follow-up; multi-coded Condition,MAPPED,[[mii-diagnose-onkologie]],Diagnose
followUp.followUpOds[].deathDate,string,no,yes,,date,Date of death.,Person,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,Patient.deceasedDateTime,also obds-observation-tod,MAPPED,[[mii-person-fall]],PatientPseudonymisiert
followUp.followUpOds[].ecogPerformanceStatusScore,string,yes,yes,"0, 1, 2, 3, 4, 5, unknown, notApplicable",,ECOG Performance Status.,Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-ecog,Observation.valueCodeableConcept,"ECOG 0-4 -> mii-pr-onko-allgemeiner-leistungszustand-ecog value; ADDITIONAL VALUES (no ECOG-score equivalent): unknown -> Observation.dataAbsentReason=unknown (omit value); notApplicable -> dataAbsentReason=not-applicable; 5 (=death) not in MII ECOG VS -> derive from vitalStatus, not ECOG (drop with warning)",MAPPED,[[docs/OPEN-ISSUES]] final-review | NUM-OMICS: additional values unknown/notApplicable -> dataAbsentReason; ECOG 5 out of MII VS (see P0-2),mii-pr-onko-allgemeiner-leistungszustand-ecog | DNPM-SE / MII Seltene | FHIR dataAbsentReason VS (unknown/not-applicable); NUM-OMICS/terminology-check (tx.fhir.org verified)
followUp.followUpOds[].followUpDate,string,yes,yes,,date,Date of the follow-up.,Onkologie,Observation,Observation.effectiveDateTime,follow-up date,MAPPED,"[[mii-consent-med-proc]] [[mii-diagnose-onkologie]] | CLIN-REVIEW: (Lucien Clin) I'd say that's wrong: The follow-up (FU) object itself is not an Observation, but should rather be represented as an Encounter (with .class = virtual?). So the FU date maps to Encounter.period.start | CLIN-RESOLVE (diverge): MII models disease-course follow-up as the Verlauf Observation (mii-pr-onko-verlauf), not an Encounter - there is no follow-up Encounter in MII KDS. genomDE followUp is a grouping with no single FHIR resource, so its date attaches to Verlauf Observation.effectiveDateTime. Ref: medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-verlauf.",Observation
followUp.followUpOds[].lastContactDate,string,no,yes,,date,Date of the last contact with the patient.,Onkologie,Observation,Observation.effectiveDateTime,last contact (Lebenszeichen),MAPPED,[[mii-consent-med-proc]] [[mii-diagnose-onkologie]],Observation
followUp.followUpOds[].metachroneDiagnoses,boolean,yes,yes,,,Indicates if metachronous tumors are observed.,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code,metachronous diagnosis -> additional Condition,DRAFT,[[mii-consent-med-proc]] [[mii-diagnose-onkologie]],Diagnose
followUp.followUpOds[].phenotypes[].change,string,yes,yes,"newlyAdded, improved, degraded, noLongerObserved, unchanged",,,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.component[status].interpretation,status history: source 'abated'->noLongerObserved; 'newlyAdded' is derived (not in 4-value source enum),MAPPED,[[dnpm-rd/ALIGNMENT]] [[ref-dnpm-rd-model]],mii-pr-seltene-hpo-assessment | DNPM-SE / MII Seltene
followUp.followUpOds[].phenotypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.code,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].phenotypes[].display,string,no,yes,,,Representation defined by the system,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.display,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].phenotypes[].system,string,no,yes,,uri,Identity of the terminology system,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.system,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].phenotypes[].text,string,no,yes,,,Clinical description of the phenotype,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.text,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].phenotypes[].version,string,no,yes,,,Version of the system - if relevant,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.version,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].preventiveMeasures[].preventiveMeasureDate,string,yes,yes,,date,Date of the preventive measure.,Onkologie,CarePlan,CarePlan.activity.detail.scheduledDateTime,,MAPPED,[[mtb-evidence-levels]],CarePlan
followUp.followUpOds[].preventiveMeasures[].preventiveMeasureResult,string,yes,yes,"noFindings, malignoma, unclear",,Result of the preventive measure.,Onkologie,CarePlan,CarePlan.activity.outcomeCodeableConcept,,DRAFT,[[mtb-evidence-levels]],CarePlan
followUp.followUpOds[].preventiveMeasures[].reference,string,yes,yes,,,,Onkologie,CarePlan,CarePlan.activity.reference.identifier / .display,,DRAFT,[[mtb-evidence-levels]] | NUM-OMICS: plain string id is not a literal Reference; use .reference.identifier/.display,CarePlan | FHIR R4 Reference (logical); NUM-OMICS review (LOINC-verified 2026-07)
followUp.followUpOds[].preventiveMeasures[].type,string,no,yes,,,,Onkologie,CarePlan,CarePlan.activity.detail.code,,MAPPED,[[mtb-evidence-levels]],CarePlan
followUp.followUpOds[].therapies[].reference,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-therapie,Procedure.basedOn,link to recommended therapy,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-therapie | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.code,ATC; administered therapy,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].substances[].code.display,string,no,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.display,ATC; administered therapy,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.system,ATC; administered therapy,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.version,ATC; administered therapy,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].substances[].name,string,no,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.text,substance display,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].terminationReasonOBDS,string,no,yes,"E, R, W, A, P, S, V, T, U",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-therapie,Procedure.statusReason,SYSTEndegrund -> statusReason,MAPPED,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | CLIN-REVIEW: (Lucien Clin) See above. systemic therapy is MedicationStatement, not Procedure | CLIN-RESOLVE (partial): outcome->statusReason; resource stays Procedure (see the prior-therapy row).",mii-pr-mtb-systemische-therapie | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].therapyEndDate,string,no,yes,,date,Date when the therapy ended.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-therapie,Procedure.performedPeriod.end,,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-therapie | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].therapyResponse,string,no,yes,"PD, SD, PR, CR",,Therapy response.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-response-befund,Observation.valueCodeableConcept,Gesamtbeurteilung SNOMED 396432002,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-response-befund | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].therapyResponseDate,string,no,yes,,date,Date of therapy response evaluation.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-therapie,Observation(RECIST).effectiveDateTime,,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-therapie | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].therapyResponseSource,string,no,yes,,,Source of therapy response data.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-therapie,Observation(RECIST).method,response assessment source,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-therapie | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].therapies[].therapyStartDate,string,yes,yes,,date,Date when the therapy started.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-therapie,Procedure.performedPeriod.start,,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-therapie | oBDS-to-FHIR (bzkf)
followUp.followUpOds[].vitalStatus,string,yes,yes,"living, deceased",,Vital status of the patient.,Person,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/mii-pr-person-vitalstatus,Observation.valueCodeableConcept,LOINC 67162-8 + MII Vitalstatus CS (L/T/A/N/B/V/X) — LOCKED,MAPPED,[[mii-diagnose-onkologie]] [[fml-codesystem-url-lock]],mii-pr-person-vitalstatus
metaData.addressAGS,string,yes,no,,,Official municipal code of the patient's residence.,Person,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,Patient.address:Strassenanschrift.city.extension:gemeindeschluessel,AGS Gemeindeschluessel; ext http://fhir.de/StructureDefinition/destatis/ags mounts on address.CITY (P0: not address.extension); valueCoding system urn:oid:1.2.276.0.76.5.474,MAPPED,[[mii-person-fall]],PatientPseudonymisiert | fhir.de Basisprofil-DE
metaData.birthDate,string,yes,no,,,Date of birth without the day. Format YYYY-MM,Person,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,Patient.birthDate,FHIR date; YYYY-MM is valid — do not pad,MAPPED,[[mii-person-fall]],PatientPseudonymisiert
metaData.coverageType,string,yes,no,"GKV, PKV, BG, SEL, SOZ, GPV, PPV, BEI, SKT, UNK",,Health insurance providers,Fall,http://fhir.de/StructureDefinition/coverage-de-basis,Coverage.type,"-> versicherungsart-de-basis VS; GKV upgrades meta.profile to coverage-de-gkv; SKT->KBV CS, UNK->v3-NullFlavor; guard the 8 valid codes",MAPPED,[[mii-person-fall]],coverage-de-basis
metaData.decisionToInclude,boolean,yes,no,,,Decision of the multidisciplinary case conference in the field of diagnostics on the inclusion of the insured person in the pilot project,,,,MV board inclusion decision; administrative,NOMAP,,
metaData.gender,string,yes,no,"male, female, other, unknown",,,Person,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,Patient.gender (+ extension:other-amtlich = gender-amtlich-de),ConceptMap genomDE->administrative-gender (male/female/other/unknown 1:1). MII invariant mii-pat-1 REQUIRES gender.extension(http://fhir.de/StructureDefinition/gender-amtlich-de) when gender=other; genomDE 'other'=Divers => extension Coding D (divers) from gender-other-de VS. male/female/unknown carry no extension.,MAPPED,"[[mii-person-fall]] | CLIN-REVIEW: (Lucien Clin) What's the need of this extension: the value set here (see at left) is already exactly FHIR AdministrativeGender: https://hl7.org/fhir/R4/valueset-administrative-gender.html | CLIN-RESOLVE (diverge): reviewer is right that the gender CODE VS = AdministrativeGender, BUT MII Person adds invariant mii-pat-1 making gender.extension:other-amtlich (gender-amtlich-de, VS gender-other-de: D=divers/X=unbestimmt) MANDATORY when gender='other'. So the extension is kept; genomDE 'other'=Divers -> D. Ref: mii-pr-person-patient(-pseudonymisiert) via de.basisprofil.r4@1.5.4; invariant mii-pat-1.",PatientPseudonymisiert | MII inv. mii-pat-1; fhir.de Basisprofil-DE; HL7 FHIR R4 core
metaData.localCaseId,string,no,no,,,A local case identifier of the Leistungserbringer to be able to track multiple submissions referring to the same index patient,Person,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,Patient.identifier:pid,local case/patient id; type.coding=MR (v2-0203); also links the per-case Encounter,MAPPED,[[mii-person-fall]],PatientPseudonymisiert
metaData.molecularBoardDecisionDate,string,yes,no,,date,Date of the decision of the multidisciplinary case conference in the field of diagnostics on the inclusion of the insured person in the pilot project,Onkologie,CarePlan,CarePlan.created,Indikationsboard decision = date of FIRST CarePlan (NOT a standalone field; was Encounter),MAPPED,[[dnpm-rd/ALIGNMENT]] [[ref-dnpm-rd-model]],CarePlan | DNPM-SE / MII Seltene
metaData.mvConsent.presentationDate,string,no,no,,date,"Date of delivery. Date (in ISO 8601 format YYYY-MM-DD) on which the Model Project Declaration of Participation was presented to the patient, unless identical to the date of signature",Consent,https://www.medizininformatik-initiative.de/fhir/modul-consent/StructureDefinition/mii-pr-consent-einwilligung,Consent.dateTime,date the MV declaration was presented,MAPPED,[[mii-consent-med-proc]],mii-pr-consent-einwilligung
metaData.mvConsent.scope[].date,string,yes,yes,,date,Date of signature of the pilot projects consent; in ISO 8601 format YYYY-MM-DD.,Consent,https://www.medizininformatik-initiative.de/fhir/modul-consent/StructureDefinition/mii-pr-consent-einwilligung,Consent.provision.provision.period.start,signature date of this consent scope,MAPPED,[[mii-consent-med-proc]],mii-pr-consent-einwilligung
metaData.mvConsent.scope[].domain,string,yes,yes,"mvSequencing, reIdentification, caseIdentification",,Scope of consent or revocation.,Consent,https://www.medizininformatik-initiative.de/fhir/modul-consent/StructureDefinition/mii-pr-consent-einwilligung,Consent.provision.provision.code,"domain->broad-consent code: mvSequencing=...24.5.3.8, caseIdentification=...5.3.2, reIdentification=...5.3.6; code.system urn:oid:2.16.840.1.113883.3.1937.777.24.5.3",MAPPED,"[[mii-consent-med-proc]] | NUM-OMICS: OID 2.16.840.1.113883.3.1937.777.24.5.3.{8,2,6} are MII Broad-Consent IDAT/MDAT purposes, NOT the MV-GenomSeq domains mvSequencing/caseIdentification/reIdentification - confirm MV-specific consent codes",mii-pr-consent-einwilligung | MII Consent Policy CS; NUM-OMICS review (LOINC-verified 2026-07)
metaData.mvConsent.scope[].type,string,yes,yes,"permit, deny",,"Consent or refusal to participate and consent, must be indicated for each option listed in the scope of consent.",Consent,https://www.medizininformatik-initiative.de/fhir/modul-consent/StructureDefinition/mii-pr-consent-einwilligung,Consent.provision.provision.type,permit/deny per inner provision,MAPPED,[[mii-consent-med-proc]],mii-pr-consent-einwilligung
metaData.mvConsent.version,string,yes,no,,,"Version of the declaration of participation. Name and version of the declaration of participation in the MV GenomSeq, e.g.: 'Patient Info TE Consent MVGenomSeq vers01'",Consent,https://www.medizininformatik-initiative.de/fhir/modul-consent/StructureDefinition/mii-pr-consent-einwilligung,Consent.policy.uri,declaration version; policy.uri urn:oid:2.16.840.1.113883.3.1937.777.24.2.2079,MAPPED,[[mii-consent-med-proc]],mii-pr-consent-einwilligung
metaData.rejectionJustification,string,no,no,"targetedDiagnosticRecommended, probablyPsychosomaticIllness, probablyCommonDisease, probablyNoGeneticCause, otherReason",,Reason for the negative decision,Onkologie,CarePlan,CarePlan.activity.detail.reasonCode,board decision NOT to sequence: CarePlan.activity.detail.status=cancelled/not-started + reasonCode (from enum). Alt: ServiceRequest(sequencing).status=revoked + reasonCode.,MAPPED,"CLIN-REVIEW: (Lucien Clin) I'd argue that this MUST be recorded as a decision on the CarePlan object of the indication board, why no sequencing is needed/requested: CarePlan.activity.detail.reasonCode | CLIN-RESOLVE (agree): a negative-decision reason is clinically meaningful; upgraded from NOMAP to CarePlan.activity.detail.reasonCode.",CarePlan
metaData.researchConsents[].noScopeJustification,string,no,yes,"patient unable to consent, patient refuses to sign consent, patient did not return consent documents, other patient-related reason, consent information cannot be submitted by LE due to technical reason, consent is not implemented at LE due to organizational issues",,Justification if no scope object is present.,,,,"justification when no scope present; provenance only, no clinical KDS element",NOMAP,[[mii-consent-med-proc]],
metaData.researchConsents[].presentationDate,string,yes,yes,,date,Date of the delivery of the research consent in ISO 8601 format (YYYY-MM-DD),Consent,https://www.medizininformatik-initiative.de/fhir/modul-consent/StructureDefinition/mii-pr-consent-einwilligung,Consent.dateTime,delivery date of the research consent,MAPPED,[[mii-consent-med-proc]],mii-pr-consent-einwilligung
metaData.researchConsents[].schemaVersion,string,no,yes,2025.0.1,,Schema version of de.medizininformatikinitiative.kerndatensatz.consent,,,,"consent KDS package version (2025.0.1); metadata, not a mapped element",NOMAP,[[mii-consent-med-proc]],
